normalized_column_name,description,type,mapped_column_names,nullable,note
low_rate,Low Rate,dollar_amount,LOWRATE; MINIMUM_RATE_$,TRUE,
high_rate,High Rate,dollar_amount,HIGHRATE; MAXIMUM_RATE_$,TRUE,
low_high_rate,Low Rate and High Rate,low_high,LOW_HIGH_RATE,TRUE,
rents,,rents_list,RENT,TRUE,
rent_rate,,percentage,RGI_RENT_RATE,TRUE,
approximate_start_rate,,range_of_pricing,APPROX_START_RATE_PER_MONTH,TRUE,
service_package_rate,,str,SERVICE_PACKAGE_RATE,,
subsidized_rent,,boolean,SUBSIDIZED_RENT,,
finances,,list_of_str,PARTICIPATIONS,TRUE,
